r,R  4/ 2,R  5/ 2,R  6/ 2,R  7/ 2,R  8/ 2,R  9/ 2,R 10/ 2,I  4/ 2,I  5/ 2,I  6/ 2,I  7/ 2,I  8/ 2,I  9/ 2,I 10/ 2
0.078,0.000225854759,-0.000258225545,0.000380170112,-0.000143367235,4.0744704e-06,2.16933123e-07,-2.84597681e-08,0.000308788502,0.000510875075,0.000310952102,-0.000112334246,-4.0311616e-06,2.55278143e-07,5.91279127e-09
0.079,0.000235441161,-0.000274213105,0.000408788271,-0.000155932916,4.50689013e-06,2.39120846e-07,-3.16520762e-08,0.000322617911,0.000541011864,0.000335402957,-0.000122348987,-4.42779925e-06,2.78295137e-07,6.83285318e-09
0.08,0.000245245774,-0.000290934155,0.000439109747,-0.000169404109,4.97867704e-06,2.63074675e-07,-3.51458854e-08,0.000336811434,0.000572399025,0.0003614062,-0.000133096686,-4.85713572e-06,3.02795649e-07,7.87257209e-09
0.081,0.000255266212,-0.000308408835,0.000471206942,-0.000183831678,5.49281971e-06,2.88884835e-07,-3.89613094e-08,0.000351368509,0.000605060726,0.000389036105,-0.00014461869,-5.32138005e-06,3.28820775e-07,9.04525843e-09
0.082,0.000265499813,-0.000326657338,0.000505153792,-0.000199268478,6.05245932e-06,3.16645462e-07,-4.31169863e-08,0.000366288208,0.000639020403,0.000418369345,-0.000156957895,-5.82287473e-06,3.56410841e-07,1.03656402e-08
0.083,0.000275943627,-0.000345699841,0.000541025725,-0.000215769412,6.66090375e-06,3.46452796e-07,-4.7631161e-08,0.00038156921,0.000674300658,0.000449484978,-0.000170158749,-6.36409401e-06,3.85603789e-07,1.18496894e-08
0.084,0.000286594398,-0.000365556457,0.00057889962,-0.000233391467,7.32164285e-06,3.78403147e-07,-5.25222597e-08,0.000397209779,0.00071092318,0.000482464421,-0.000184267259,-6.94764623e-06,4.16434029e-07,1.35144732e-08
0.085,0.000297448568,-0.000386247206,0.000618853751,-0.000252193756,8.03835851e-06,4.12592091e-07,-5.7808957e-08,0.000413207765,0.000748908668,0.000517391443,-0.000199330992,-7.57628057e-06,4.48931875e-07,1.53781371e-08
0.086,0.000308502267,-0.000407791995,0.000660967742,-0.000272237556,8.81493185e-06,4.49113915e-07,-6.35099724e-08,0.000429560588,0.000788276772,0.000554352174,-0.000215399081,-8.25289481e-06,4.83123088e-07,1.74597304e-08
0.087,0.000319751311,-0.000430210583,0.000705322505,-0.000293586342,9.65544848e-06,4.88061223e-07,-6.96438629e-08,0.000446265236,0.000829046027,0.000593435102,-0.000232522227,-8.98054313e-06,5.1902878e-07,1.97791539e-08
0.088,0.000331191201,-0.00045352256,0.000752000181,-0.000316305831,1.05642019e-05,5.29524382e-07,-7.62286978e-08,0.000463318254,0.000871233784,0.000634731081,-0.00025075269,-9.76244387e-06,5.56665596e-07,2.2356974e-08
0.089,0.000342817113,-0.000477747315,0.000801084074,-0.000340464015,1.15456927e-05,5.73591369e-07,-8.32816142e-08,0.000480715739,0.000914856153,0.000678333339,-0.000270144291,-1.06019876e-05,5.96046638e-07,2.52143774e-08
0.09,0.00035462391,-0.000502904013,0.000852658578,-0.000366131204,1.2604619e-05,6.20348755e-07,-9.08179658e-08,0.000498453333,0.000959927946,0.000724337521,-0.000290752404,-1.15027469e-05,6.37183099e-07,2.83729921e-08
0.091,0.000366606149,-0.00052901163,0.000906809103,-0.000393380064,1.37458481e-05,6.69886259e-07,-9.88490298e-08,0.000516526236,0.00100646267,0.000772841836,-0.000312633951,-1.24684999e-05,6.80087465e-07,3.18548919e-08
0.092,0.000378758114,-0.000556089094,0.000963621992,-0.00042228563,1.49743824e-05,7.22302067e-07,-1.07378761e-07,0.000534929252,0.0010544726,0.000823947289,-0.000335847396,-1.35032692e-05,7.24777298e-07,3.56829369e-08
0.093,0.000391073797,-0.000584155158,0.00102318443,-0.000452925366,1.62953776e-05,7.77698028e-07,-1.16406646e-07,0.00055365674,0.00110396861,0.000877757585,-0.000360452711,-1.4611314e-05,7.71272761e-07,3.9879928e-08
0.094,0.000403546887,-0.000613228334,0.00108558438,-0.000485379201,1.77141623e-05,8.36174898e-07,-1.25929639e-07,0.000572702598,0.00115496009,0.000934379028,-0.000386511334,-1.57971316e-05,8.19595376e-07,4.44681718e-08
0.095,0.000416170763,-0.000643326867,0.00115091048,-0.000519729553,1.92362442e-05,8.97830598e-07,-1.35942237e-07,0.000592060254,0.00120745489,0.000993920492,-0.000414086142,-1.70654721e-05,8.69767879e-07,4.94688602e-08
