bet0_f,Bdens,Adens,Beam Ion Effective Temp(keV),n,gam,om_r,gam_var,om_r_var,tipo_inestabilidad,modo_m,pos_radial,diff_m
0.0049,0.2,10.0,40,1,0.0230732,118.1320495032,1.41271e-26,5.34682e-25,TAE,4,0.138,1
0.0049,0.3,0.5,0,1,0.00626609,1.76480097615,5.91863e-09,3.32185e-10,BAE,4,0.752,0
0.0049,0.3,0.5,20,1,0.00627106,1.702558339632,6.55161e-09,3.31198e-10,BAE,4,0.752,0
0.0049,0.3,0.5,40,1,0.00614004,1.587682077264,1.2333e-08,1.89968e-08,BAE,4,0.752,1
0.0049,0.3,2.0,0,1,0.00622561,1.685787556968,9.92872e-09,9.45411e-09,BAE,4,0.752,0
0.0049,0.3,2.0,20,1,0.00626181,1.702198451592,7.21335e-09,4.819e-08,BAE,4,0.752,0
0.0049,0.3,2.0,40,1,0.00625625,1.6566846108000002,7.92913e-09,1.03896e-09,BAE,4,0.752,0
0.0049,0.3,4.0,0,1,0.00600588,2.588776639998,6.70682e-07,2.45946e-05,BAE,4,0.752,0
0.0049,0.3,4.0,20,1,0.00651175,30.41269870824,8.91861e-08,0.00453235,Estable/Ruido,4,0.752,0
0.0049,0.3,4.0,40,1,0.00627779,1.656612633192,8.36623e-09,6.04724e-09,BAE,4,0.752,0
0.0049,0.3,6.0,0,1,0.00688263,22.14553059738,5.81537e-09,1.93594e-05,BAE,3,0.316,0
0.0049,0.3,6.0,20,1,0.00611692,1.560882414552,1.317e-08,5.67601e-08,Estable/Ruido,5,0.865,1
0.0049,0.3,6.0,40,1,0.00916304,39.65822245584,1.24997e-19,5.18349e-19,BAE,3,0.277,0
0.0049,0.3,8.0,0,1,0.00880205,24.94425992178,1.28366e-18,4.90089e-18,BAE,3,0.311,0
0.0049,0.3,8.0,20,1,0.00904058,38.82970020642,2.75768e-19,4.9672400000000015e-19,BAE,3,0.272,0
0.0049,0.3,8.0,40,1,0.0125825,41.45796256254,4.63776e-27,1.05528e-26,BAE,3,0.281,0
0.0049,0.3,10.0,0,1,0.014237,36.76610218506,2.87769e-19,9.25252e-20,BAE,3,0.275,0
0.0049,0.3,10.0,20,1,0.0157124,40.87254468414,4.2682199999999996e-27,1.72149e-27,BAE,3,0.277,0
0.0049,0.3,10.0,40,1,0.0157642,43.84773911082,1.20612e-26,6.42455e-27,BAE,3,0.281,0
0.0049,0.4,0.5,0,1,0.00619984,1.764824968686,1.54179e-08,7.28325e-08,BAE,4,0.752,0
0.0049,0.4,0.5,20,1,0.00626008,1.693759077054,6.90521e-09,1.41303e-09,BAE,4,0.752,0
0.0049,0.4,0.5,40,1,0.00625162,1.67003045895,7.47891e-09,2.602e-09,BAE,4,0.752,0
0.0049,0.4,2.0,0,1,0.00618006,1.63982985426,1.19929e-08,2.00846e-08,BAE,4,0.752,0
0.0049,0.4,2.0,20,1,0.0061572,1.597525015158,1.69925e-08,3.75536e-08,BAE,4,0.752,1
0.0049,0.4,2.0,40,1,0.00623039,1.639314014736,1.08001e-08,5.98731e-09,BAE,4,0.752,0
0.0049,0.4,4.0,0,1,0.00580635,10.78200575304,2.0116e-07,0.000201569,Estable/Ruido,4,0.752,0
0.0049,0.4,4.0,20,1,0.00623613,1.639913828136,8.59541e-09,6.00327e-09,BAE,4,0.752,0
0.0049,0.4,4.0,40,1,0.00591017,19.37043392094,1.23485e-06,0.000731195,Estable/Ruido,4,0.752,0
0.0049,0.4,6.0,0,1,0.00955896,22.16436473814,9.37697e-21,1.10324e-20,BAE,3,0.334,0
0.0049,0.4,6.0,20,1,0.0103166,32.173930794659995,4.5053e-18,1.32239e-18,BAE,3,0.316,0
0.0049,0.4,6.0,40,1,0.0142335,37.1341476873,7.52243e-27,1.05977e-26,BAE,3,0.338,0
0.0049,0.4,8.0,0,1,0.0134598,25.71705950634,1.70103e-08,8.12503e-09,BAE,3,0.371,0
0.0049,0.4,8.0,20,1,0.018395,32.5956595962,5.3796899999999996e-27,5.72958e-27,BAE,3,0.369,0
0.0049,0.4,8.0,40,1,0.0208238,37.34054347824,2.97961e-26,1.65379e-26,BAE,3,0.371,0
0.0049,0.4,10.0,0,1,0.0197995,26.464846872120003,3.82225e-26,2.64703e-26,BAE,3,0.385,0
0.0049,0.4,10.0,20,1,0.0241867,32.82190921068,1.19141e-26,5.27745e-27,BAE,3,0.383,0
0.0049,0.4,10.0,40,1,0.0258236,37.54064122848,3.54752e-26,3.78133e-27,BAE,3,0.382,0
0.0049,0.6,0.5,0,1,0.00623845,1.7474363782200002,8.83297e-09,6.15179e-09,BAE,4,0.752,0
0.0049,0.6,0.5,20,1,0.00623118,1.670354358186,1.07133e-08,1.10934e-08,BAE,4,0.752,0
0.0049,0.6,0.5,40,1,0.00625458,1.669844516796,7.98597e-09,3.88217e-09,BAE,4,0.752,0
0.0049,0.6,2.0,0,1,0.00624708,1.734918272562,7.62052e-09,8.28729e-10,BAE,4,0.752,0
0.0049,0.6,2.0,20,1,0.00616686,1.620317924358,1.42529e-08,1.55566e-08,BAE,4,0.752,1
0.0049,0.6,2.0,40,1,0.00625858,1.67542877955,7.79174e-09,5.30052e-10,BAE,4,0.752,0
0.0049,0.6,4.0,0,1,0.00624906,1.73283092193,8.01113e-09,4.65361e-10,BAE,4,0.752,0
0.0049,0.6,4.0,20,1,0.00625455,1.686429357306,8.34329e-09,4.91467e-10,BAE,4,0.752,0
0.0049,0.6,4.0,40,1,0.0062482,1.66751124267,7.65005e-09,1.67861e-09,BAE,4,0.752,0
0.0049,0.6,6.0,0,1,0.00623807,1.717097816448,7.71389e-09,3.42735e-09,BAE,4,0.752,0
0.0049,0.6,6.0,20,1,0.00622421,1.652599881546,1.15187e-08,7.2054e-09,BAE,4,0.752,0
0.0049,0.6,6.0,40,1,0.00623661,1.659899610624,8.57122e-09,3.07849e-09,BAE,4,0.752,0
0.0049,0.6,8.0,0,1,0.00622796,1.683634226862,8.4191e-09,6.18774e-09,BAE,4,0.752,0
0.0049,0.6,8.0,20,1,0.00620719,1.632236216616,1.02129e-08,1.01858e-08,BAE,4,0.752,0
0.0049,0.6,8.0,40,1,0.00622132,1.636644845106,8.3742e-09,1.21545e-08,BAE,4,0.752,0
0.0049,0.6,10.0,0,1,0.0062502,1.688582687412,8.27871e-09,7.21425e-10,BAE,4,0.752,0
0.0049,0.6,10.0,20,1,0.00625032,1.664776093566,8.49476e-09,1.3104e-09,BAE,4,0.752,0
0.0049,0.6,10.0,40,1,0.00623658,1.647279536688,8.32778e-09,8.68626e-09,BAE,4,0.752,0
0.0049,0.7,0.5,0,1,0.00626599,1.769425537464,5.83043e-09,4.53062e-10,BAE,4,0.752,0
0.0049,0.7,0.5,20,1,0.00626285,1.702024505706,6.58181e-09,1.81886e-09,BAE,4,0.752,0
0.0049,0.7,0.5,40,1,0.00627229,1.685133760362,6.70236e-09,3.54325e-10,BAE,4,0.752,0
0.0049,0.7,2.0,0,1,0.00623476,1.736345828454,8.89195e-09,4.02274e-09,BAE,4,0.752,0
0.0049,0.7,2.0,20,1,0.006233,1.679729441628,9.11883e-09,4.91612e-09,BAE,4,0.752,0
0.0049,0.7,2.0,40,1,0.00611346,1.748642003154,4.00307e-08,4.10665e-07,BAE,4,0.752,1
0.0049,0.7,4.0,0,1,0.00624172,1.77178880226,7.8469e-09,8.8397e-10,BAE,4,0.752,0
0.0049,0.7,4.0,20,1,0.00625056,1.700662929288,8.02073e-09,8.28977e-10,BAE,4,0.752,0
0.0049,0.7,4.0,40,1,0.00619331,1.63791045138,1.33898e-08,1.25136e-08,BAE,4,0.752,0
0.0049,0.7,6.0,0,1,0.00616988,1.706505111804,1.28158e-08,2.19814e-08,BAE,4,0.752,0
0.0049,0.7,6.0,20,1,0.0061408,1.616964967452,1.65862e-08,1.74759e-08,BAE,4,0.752,1
0.0049,0.7,6.0,40,1,0.00605053,1.566316723956,1.71281e-08,7.3562e-08,Estable/Ruido,5,0.865,1
