r,R  6/ 3,R  7/ 3,R  8/ 3,R  9/ 3,R 10/ 3,R 11/ 3,R 12/ 3,R 13/ 3,R 14/ 3,R 15/ 3,I  6/ 3,I  7/ 3,I  8/ 3,I  9/ 3,I 10/ 3,I 11/ 3,I 12/ 3,I 13/ 3,I 14/ 3,I 15/ 3
0.045,3.3618752e-06,2.47107638e-06,1.06100537e-06,5.24893114e-07,-2.36961381e-07,-6.15878519e-08,-5.36602519e-10,-8.13650041e-11,3.61714238e-13,1.85932919e-12,6.37334173e-07,6.75871397e-08,-7.9251383e-07,-7.16451453e-07,-1.37632999e-06,-9.33395313e-08,-1.4310548e-09,4.14016113e-11,-6.86863973e-12,2.2423793e-13
0.046,3.78320083e-06,2.85998342e-06,1.26626627e-06,6.48567883e-07,-2.71987726e-07,-7.65969552e-08,-7.00376159e-10,-1.16159402e-10,-6.4722606e-13,2.16690812e-12,7.58143481e-07,1.07008543e-07,-9.21259441e-07,-8.62236212e-07,-1.71127784e-06,-1.18663005e-07,-1.79169499e-09,4.78526771e-11,-7.84750323e-12,2.72033286e-13
0.047,4.24319481e-06,3.29810044e-06,1.50513384e-06,7.9777179e-07,-3.08214668e-07,-9.46573002e-08,-9.04166323e-10,-1.62246242e-10,-2.15981061e-12,2.51149121e-12,8.97417764e-07,1.57356407e-07,-1.06576725e-06,-1.0327192e-06,-2.11718664e-06,-1.50046699e-07,-2.23714384e-09,5.4244305e-11,-8.95240284e-12,3.17910416e-13
0.048,4.74382e-06,3.79003276e-06,1.7821015e-06,9.77054395e-07,-3.44290155e-07,-1.16254154e-07,-1.15558279e-09,-2.22625729e-10,-4.34483184e-12,2.89454336e-12,1.05729225e-06,2.20733659e-07,-1.22714133e-06,-1.23118114e-06,-2.60688406e-06,-1.88748639e-07,-2.78559631e-09,6.00905153e-11,-1.02093936e-11,3.5632482e-13
0.049,5.28697879e-06,4.34062834e-06,2.10211795e-06,1.19164822e-06,-3.78300045e-07,-1.41922546e-07,-1.46321276e-09,-3.00960722e-10,-7.41594515e-12,3.31675049e-12,1.24005872e-06,2.99534217e-07,-1.4064326e-06,-1.46119145e-06,-3.19510984e-06,-2.36247698e-07,-3.45867846e-09,6.46919905e-11,-1.16544031e-11,3.79513448e-13
0.05,5.87449302e-06,4.95497001e-06,2.47061467e-06,1.44755108e-06,-4.07627618e-07,-1.72246847e-07,-1.83664449e-09,-4.01696729e-10,-1.16414733e-11,3.77803621e-12,1.44816646e-06,3.96469276e-07,-1.60461074e-06,-1.72661056e-06,-3.89873438e-06,-2.94274929e-07,-4.28198253e-09,6.7073487e-11,-1.33369021e-11,3.76480058e-13
0.051,6.50808258e-06,5.63836473e-06,2.89353275e-06,1.75161543e-06,-4.28787723e-07,-2.07858872e-07,-2.28646421e-09,-5.30199264e-10,-1.73556484e-11,4.2770774e-12,1.68422192e-06,5.14594373e-07,-1.82253214e-06,-2.03158776e-06,-4.73699231e-06,-3.64848139e-07,-5.2856612e-09,6.59068366e-11,-1.53245289e-11,3.32586907e-13
0.052,7.18934295e-06,6.39632967e-06,3.37734856e-06,2.11164494e-06,-4.37232375e-07,-2.4943423e-07,-2.82422025e-09,-6.92909441e-10,-2.4971983e-11,4.81138665e-12,1.95098676e-06,6.57337046e-07,-2.0609037e-06,-2.38055351e-06,-5.73173035e-06,-4.50309863e-07,-6.50508896e-09,5.94167366e-11,-1.77091699e-11,2.28243569e-13
0.053,7.91972156e-06,7.23457484e-06,3.92909809e-06,2.53649851e-06,-4.27123902e-07,-2.97686481e-07,-3.46234071e-09,-8.97520137e-10,-3.49986352e-11,5.37667282e-12,2.25137425e-06,8.28524881e-07,-2.32024225e-06,-2.77820549e-06,-6.9076696e-06,-5.53368817e-07,-7.98158512e-09,4.52665143e-11,-2.06144407e-11,3.82503672e-14
0.054,8.70049334e-06,8.15898209e-06,4.5563993e-06,3.0362019e-06,-3.91071869e-07,-3.53358644e-07,-4.21399796e-09,-1.1531739e-09,-4.80565564e-11,5.96694767e-12,2.58844384e-06,1.03241371e-06,-2.6008295e-06,-3.22948712e-06,-8.29268059e-06,-6.77145002e-07,-9.76320412e-09,2.04212923e-11,-2.42052687e-11,-2.69941509e-13
0.055,9.53273525e-06,9.17558014e-06,5.26747198e-06,3.62206672e-06,-3.19829703e-07,-4.17211593e-07,-5.09290681e-09,-1.47068457e-09,-6.4899647e-11,6.57374712e-12,2.96539371e-06,1.27371566e-06,-2.90266223e-06,-3.73955753e-06,-9.91806966e-06,-8.25218518e-07,-1.19055919e-08,-1.90159173e-11,-2.86995166e-11,-7.37282102e-13
0.056,1.04173002e-05,1.02905155e-05,6.07115463e-06,4.30681697e-06,-2.01946605e-07,-4.90008833e-07,-6.11304446e-09,-1.86278387e-09,-8.64384463e-11,7.18627164e-12,3.38555117e-06,1.5576268e-06,-3.22539776e-06,-4.31375154e-06,-1.18188746e-05,-1.00168214e-06,-1.44729076e-08,-7.79989618e-11,-3.43826698e-11,-1.4153016e-12
0.057,1.13547905e-05,1.15100188e-05,6.97691767e-06,5.10472282e-06,-2.33700859e-08,-5.72497069e-07,-7.28827724e-09,-2.34439482e-09,-1.13766205e-10,7.79054461e-12,3.85236079e-06,1.88985396e-06,-3.56829453e-06,-4.95752845e-06,-1.40341668e-05,-1.21119762e-06,-1.75388061e-08,-1.62769564e-10,-4.16255059e-11,-2.3675844e-12
0.058,1.23455306e-05,1.28403671e-05,7.99487237e-06,6.03174128e-06,2.33005779e-07,-6.6538193e-07,-8.63187943e-09,-2.93293306e-09,-1.48189206e-10,8.36952549e-12,4.36937004e-06,2.27664039e-06,-3.93014787e-06,-5.67640817e-06,-1.66073579e-05,-1.4590557e-06,-2.11874774e-08,-2.81129114e-10,-5.09059636e-11,-3.67241745e-12
0.059,1.33895401e-05,1.42878406e-05,9.13577486e-06,7.10566347e-06,5.87851448e-07,-7.69298139e-07,-1.01559269e-08,-3.64863748e-09,-1.91259809e-10,8.90234144e-12,4.94021239e-06,2.72478982e-06,-4.30922095e-06,-6.47589304e-06,-1.95865044e-05,-1.75123964e-06,-2.55147348e-08,-4.42758129e-10,-6.28353703e-11,-5.42473676e-12
0.06,1.44865066e-05,1.58586752e-05,1.04110243e-05,8.34626762e-06,1.06597747e-06,-8.84773367e-07,-1.18705481e-08,-4.51493119e-09,-2.44814189e-10,9.36421522e-12,5.56858769e-06,3.24168845e-06,-4.70317099e-06,-7.36137389e-06,-2.30246092e-05,-2.09449213e-06,-3.06291401e-08,-6.59589002e-10,-7.81901687e-11,-7.73920508e-12
0.061,1.56357587e-05,1.75590098e-05,1.18326548e-05,9.77547713e-06,1.69697927e-06,-1.01218505e-06,-1.37830194e-08,-5.55881351e-09,-3.11012977e-10,9.72597488e-12,6.25823979e-06,3.83532438e-06,-5.10897101e-06,-8.33801845e-06,-2.697991e-05,-2.49638514e-06,-3.66531501e-08,-9.46241014e-10,-9.79499544e-11,-1.07525887e-11
0.062,1.68362399e-05,1.9394828e-05,1.34133195e-05,1.14175223e-05,2.51595571e-06,-1.1517097e-06,-1.58966832e-08,-6.81128115e-09,-3.9238655e-10,9.95353678e-12,7.01293111e-06,4.51430382e-06,-5.52282724e-06,-9.41064029e-06,-3.15161509e-05,-2.96539275e-06,-4.37242954e-08,-1.32052608e-09,-1.2334233e-10,-1.46270832e-11
0.063,1.8086483e-05,2.13718951e-05,1.51662668e-05,1.32991056e-05,3.56430966e-06,-1.30326349e-06,-1.82096527e-08,-8.30778006e-09,-4.91885207e-10,1.00075855e-11,7.83641445e-06,5.28786375e-06,-5.94009273e-06,-1.05835471e-05,-3.67028323e-05,-3.51096575e-06,-5.19963266e-08,-1.80403304e-09,-1.55896616e-10,-1.95532828e-11
0.064,1.93845863e-05,2.34956902e-05,1.71053084e-05,1.54495683e-05,4.89063463e-06,-1.46643316e-06,-2.07132969e-08,-1.00886872e-08,-6.12934649e-10,9.84258739e-12,8.73240165e-06,6.1658802e-06,-6.35517755e-06,-1.1860366e-05,-4.26154278e-05,-4.14360806e-06,-6.16403325e-08,-2.42279552e-09,-1.97506495e-10,-2.57541179e-11
0.065,2.07281903e-05,2.57713326e-05,1.92447761e-05,1.79010568e-05,6.55169218e-06,-1.64039627e-06,-2.33904829e-08,-1.21998193e-08,-7.59494561e-10,9.40698162e-12,9.70452927e-06,7.15887151e-06,-6.76145607e-06,-1.3243844e-05,-4.933556e-05,-4.87495402e-06,-7.28457985e-08,-3.20805653e-09,-2.5050434e-10,-3.3488577e-11
0.066,2.21144578e-05,2.82035037e-05,2.15994693e-05,2.06886864e-05,8.61348537e-06,-1.82383001e-06,-2.62135567e-08,-1.46929673e-08,-9.36122086e-10,8.64151971e-12,1.07563212e-05,8.27799607e-06,-7.15117195e-06,-1.47356219e-05,-5.69511223e-05,-5.71784581e-06,-8.58215697e-08,-4.19714022e-09,-3.17746801e-10,-4.30559602e-11
